country,cont,gdp,income,literacy,military,phys
Albania,EU,4500,4937,98.7,56500000,138.9292
Algeria,AF,5900,6799,69.8,2.48E+09,84.6
Angola,AF,1900,2457,66.8,183580000,7.7
Argentina,SA,11200,12468,97.2,4.30E+09,300.9469
Armenia,AS,3900,3806,99.4,1.35E+08,352.5857
Australia,OC,28900,29893,99.9,1.67E+10,249.13
Austria,EU,30000,31254,99.9,1.50E+09,324.285
Azerbaijan,AS,3400,3968,98.8,1.21E+08,353.562
Bahrain,AS,17100,18817,87.7,628900000,159.5701
Bangladesh,AS,1900,1875,41.1,995300000,23.0678
Belarus,EU,6000,6646,99.6,176100000,449.651
Belgium,EU,29000,29707,99.9,4.00E+09,418.3599
Belize,NA,4900,7339,76.9,1.80E+07,104.5019
Benin,AF,1100,1094,33.6,96500000,5.7591
Bhutan,AS,1300,3095,47,13700000,5.1405
Bolivia,SA,2400,2710,86.5,132200000,73.3371
Bosnia and Herzegovina,EU,6100,5504,94.6,234300000,133.8396
Botswana,AF,8800,10169,78.9,338500000,28.7644
Brazil,SA,7600,8049,88.4,1.10E+10,205.6482
Brunei,AS,18600,24143,92.7,290700000,100.5892
Bulgaria,EU,7600,8500,98.2,3.56E+08,338.4453
Burkina Faso,AF,1100,1258,12.8,64200000,3.9972
Burundi,AF,600,708,58.9,38700000,5.1544
Cambodia,AS,1700,2074,73.6,1.12E+08,15.5701
Cameroon,AF,1800,2176,67.9,221100000,7.4
Canada,NA,29700,32921,99.9,10458269000,209.474
Cape Verde,AF,1400,5858,75.7,14100000,17.1
Central African Republic,AF,1200,1107,48.6,15500000,3.5
Chad,AF,1200,1555,25.5,101300000,2.5301
Chile,SA,9900,10904,95.7,3.42E+09,109.1392
China,AS,5000,5642,90.9,6.75E+10,164.2473
Colombia,SA,6300,6962,94.2,3.30E+09,135.0007
Comoros,AF,700,1660,56.2,11600000,7.4
"Costa,Rica",NA,9000,9887,95.8,64200000,171.8655
Croatia,EU,10700,11568,98.1,6.20E+08,237.3859
Cuba,NA,2800,.,96.9,572300000,590.6207
Cyprus,AS,16000,19633,96.8,3.84E+08,298.3144
Czech Republic,EU,15700,18370,99.9,2.17E+09,343.402
Denmark,EU,31200,33089,99.9,3271600000,366.2585
Djibouti,AF,1300,1878,65.5,28600000,13.2866
Dominican Republic,NA,6000,6767,87.7,1.80E+08,188
Ecuador,SA,3300,4083,91,6.55E+08,147.6256
Egypt,AF,3900,4072,55.6,2.44E+09,211.7838
El Salvador,NA,4800,4379,79.7,1.57E+08,127.3731
Equatorial Guinea,AF,2700,33994,84.2,126200000,24.6
Eritrea,AF,700,909,56.7,1.51E+08,3
Estonia,EU,12300,15217,99.8,1.55E+08,316.0346
Ethiopia,AF,700,814,41.5,337100000,2.8581
Fiji,OC,5800,5997,92.9,3.60E+07,33.6729
Finland,EU,27300,29305,99.9,1.80E+09,310.5497
France,EU,27500,27738,99.9,4.50E+10,329.0573
Gabon,AF,5500,6922,71,184800000,28.9375
Georgia,AS,2500,2774,99.9,2.30E+07,390.6598
Germany,EU,27600,28988,99.9,3.51E+10,361.7447
Ghana,AF,2200,2475,54.1,49200000,9
Greece,EU,19900,20362,91,5.79E+09,439.7252
Guatemala,NA,4100,4009,69.1,201900000,89.6
Guinea,AF,2100,1919,41,56700000,9.4121
Guinea-Bissau,AF,900,730,39.6,8900000,16.6
Guyana,SA,4000,4575,96.5,6500000,48.2
Haiti,NA,1600,1625,51.9,2.60E+07,25
Honduras,NA,2600,2682,80,100600000,83.2
Hungary,EU,13900,15546,99.3,1.08E+09,315.9143
India,AS,2900,3080,61,1.70E+10,51.2557
Indonesia,AS,3200,3703,87.9,1.30E+09,16.2352
Iran,AS,7000,7594,77,4.30E+09,104.9192
Ireland,EU,29800,37663,99.9,7.00E+08,237.1383
Israel,AS,19700,22077,96.9,9.11E+09,391.0247
Italy,EU,26800,27984,98.5,28182800000,606.4965
Jamaica,NA,3800,4327,87.6,31200000,85
Japan,AS,28000,29906,99.9,4.58E+10,201.357
Jordan,AS,4300,4383,89.9,1.46E+09,204.9699
Kazakhstan,AS,7000,7418,99.5,221800000,330.1971
Kenya,AF,1000,1062,73.6,177100000,13.2
Kuwait,AS,18100,16066,82.9,2584500000,152.5086
Kyrgyzstan,AS,1600,1934,98.7,19200000,267.8533
Laos,AS,1700,1921,68.7,10700000,59
Latvia,EU,10100,11980,99.7,8.70E+07,291.4349
Lebanon,AS,4800,5930,86.5,540600000,325.2433
Lesotho,AF,3000,2074,81.4,32300000,5.4
Libya,AF,6400,10769,81.7,1.30E+09,129
Lithuania,EU,11200,12980,99.6,230800000,402.6809
Luxembourg,EU,55100,63609,99.9,231600000,254.5071
Madagascar,AF,800,854,70.6,44600000,8.6868
